scenario,year,mean,low,high
ssp370,2018,288.37420856786343,288.11652873871316,288.74961464214863
ssp370,2019,288.4088683055549,288.18820414900574,288.76949020676346
ssp370,2020,288.400459339094,288.130587305768,288.7054784618439
ssp370,2021,288.4553800673527,288.2079161665578,288.8063756618459
ssp370,2022,288.434125692451,288.0671123598827,288.8360144836867
ssp370,2023,288.40852087741575,288.17646921461164,288.79845968617764
ssp370,2024,288.40029269231826,288.12588774767215,288.78011331522936
ssp370,2025,288.51883427305694,288.1610250484214,288.8608984157138
ssp370,2026,288.6766650490594,288.3661695772029,289.0328972925277
ssp370,2027,288.70322897558736,288.4199369252527,289.11792898128107
ssp370,2028,288.7156447307331,288.59004067822747,288.91387865338146
ssp370,2029,288.6871741486951,288.49714578591824,289.01077060916265
ssp370,2030,288.6486851653172,288.48888347873384,288.9031180007608
ssp370,2031,288.7700514755222,288.49508782577277,289.03412193400095
ssp370,2032,288.77692858018617,288.56949065235193,288.9868187654581
ssp370,2033,288.91637590943964,288.6899997719554,289.0608235626341
ssp370,2034,288.84301496575546,288.5779053492107,289.16792518838315
ssp370,2035,288.81322453562433,288.63256356216147,289.1255715339597
ssp370,2036,288.94414630275855,288.75748453421494,289.3004055580118
ssp370,2037,289.0127612367349,288.8454647891995,289.3118260199968
ssp370,2038,288.97137131024596,288.7404863408612,289.2865894097056
ssp370,2039,289.089910620133,288.8270042852469,289.44130676616265
ssp370,2040,289.23513017478575,288.9261961010701,289.68432584810336
ssp370,2041,289.27729312670823,289.0029632948082,289.683590240367
ssp370,2042,289.162282191141,288.904570449755,289.47369225930333
ssp370,2043,289.1880655846165,288.9430721031827,289.5934925622978
ssp370,2044,289.24947977358124,289.0156119491402,289.6609554461413
ssp370,2045,289.3222059192902,289.1324711426624,289.65883887997444
ssp370,2046,289.3489143985452,289.13134894929334,289.73807820234543
ssp370,2047,289.38294441387114,289.0974380562663,289.7762216465712
ssp370,2048,289.38206009414574,289.1292837096404,289.763989926159
ssp370,2049,289.56746977180416,289.3471465345251,289.79496331254364
ssp370,2050,289.432794810625,289.2406663423663,289.7326730948803
ssp370,2051,289.5525032296757,289.31969854186457,289.9444668240857
ssp370,2052,289.5701593179764,289.30454335201057,290.00388241769355
ssp370,2053,289.5775638817448,289.441471736474,289.8284095000359
ssp370,2054,289.5957886360298,289.31180267736903,289.9232278068093
ssp370,2055,289.79470025291886,289.5639982589048,290.12375312599005
ssp370,2056,289.8196834239346,289.63541550468227,290.18095427806384
ssp370,2057,289.81059311833025,289.5074581016981,290.2791492695046
ssp370,2058,289.8367764908677,289.5710798782356,290.3164202389368
ssp370,2059,289.8984732187832,289.64796443531753,290.2050478747397
ssp370,2060,290.00040010968786,289.7573883166894,290.4580457725487
ssp370,2061,289.96802003691886,289.6497751210106,290.3788143569526
ssp370,2062,289.99299256234195,289.7737000980901,290.34504020835055
ssp370,2063,290.06313827175285,289.7794732462116,290.4046038812733
ssp370,2064,290.12185638432726,289.8299465281748,290.43969186139867
ssp370,2065,290.1165483928539,289.7828612857619,290.49530373290344
ssp370,2066,290.1683263926322,289.89098118934396,290.615852952332
ssp370,2067,290.267219927437,289.98627671553146,290.7276950282865
ssp370,2068,290.2504825619848,289.9564048599254,290.66186727129053
ssp370,2069,290.4301443707888,290.1648722531374,290.833060726086
ssp370,2070,290.3849657678566,290.13925634827405,290.78283279893384
ssp370,2071,290.51951077130985,290.13555132156154,291.03254272824415
ssp370,2072,290.52593451845405,290.26260811977386,290.9885395657386
ssp370,2073,290.44563663954284,290.23495291164244,290.7674783502775
ssp370,2074,290.4951798768634,290.07405923060486,290.9278213677798
ssp370,2075,290.7099798279796,290.4570789621226,291.1218183246524
ssp370,2076,290.64522261768894,290.2946041621136,291.0352088117565
ssp370,2077,290.63981857944174,290.33043494881906,290.91068992046576
ssp370,2078,290.7312377580913,290.56724224093824,290.8981332569554
ssp370,2079,290.8001227762194,290.543202508637,291.18790975469665
ssp370,2080,290.77131336985093,290.25128456718545,291.28148266567376
ssp370,2081,290.84387277725983,290.45493377098114,291.2424721825643
ssp370,2082,291.0227754154587,290.84916696527944,291.29667486735747
ssp370,2083,291.0331918818387,290.7397521171354,291.34282455641875
ssp370,2084,291.00304410554867,290.3602158233811,291.5194846885523
ssp370,2085,291.04367938039815,290.6849212681116,291.4735822444566
ssp370,2086,291.09170396866756,290.83460108211824,291.2297426932195
ssp370,2087,291.1250106282267,290.7449178240444,291.3860098606206
ssp370,2088,291.2143665086667,290.77335924293345,291.63585344205893
ssp370,2089,291.1810676026126,290.59373783777534,291.5660162441042
ssp370,2090,291.10498967200573,290.72897597438174,291.46126098411423
ssp370,2091,291.2595947017774,290.74538843871625,291.652442633963
ssp370,2092,291.3535532792743,290.87215724419735,291.6385646930289
ssp370,2093,291.39146572653857,290.9764442962631,291.6478796246711
ssp370,2094,291.50942054908313,291.0391307992763,291.7536731472676
ssp370,2095,291.4947032175964,291.0485682897003,291.7192673304365
ssp370,2096,291.4713658619152,290.83290358998335,291.8789242654044
ssp370,2097,291.5215981146334,291.0176306918666,291.8943917422993
ssp370,2098,291.66577153952056,291.2362853692453,291.931635036273
ssp370,2099,291.6637840555117,291.16723819965085,291.91322209391575
ssp370,2100,291.7294402481935,291.25386247837145,292.00608469669015
ssp585,2015,288.1567010189144,287.85850009467293,288.5210069082884
ssp585,2016,288.23266452815506,287.9708260667863,288.51687563166115
ssp585,2017,288.29825192941763,287.9426091136674,288.51528097757426
ssp585,2018,288.3826923387835,288.04332118626775,288.67302149717386
ssp585,2019,288.3380033118632,288.08895046646836,288.72204052963554
ssp585,2020,288.2534851003789,287.9920127461202,288.6130693537216
ssp585,2021,288.4158419302705,288.29010178804805,288.65765955141904
ssp585,2022,288.40166707500697,288.22562075453294,288.567416853452
ssp585,2023,288.52887311666956,288.30713856677374,288.72538466439545
ssp585,2024,288.7123097743461,288.52191759840815,288.92276009566507
ssp585,2025,288.6319585811273,288.35290388709046,288.91485196242724
ssp585,2026,288.6433284495128,288.42058295327837,289.00003960227514
ssp585,2027,288.77553517679434,288.5199606365739,289.12780693125234
ssp585,2028,288.82562168141015,288.65139401797245,289.08998926848955
ssp585,2029,288.78866064800553,288.5754707190038,289.1540739657849
ssp585,2030,288.79864612085845,288.5165573831958,289.01313239875134
ssp585,2031,288.8214297767643,288.6602211658175,289.1132356874488
ssp585,2032,288.911141813451,288.65350195953357,289.2363967531093
ssp585,2033,288.970042187224,288.6968607905029,289.25573120574455
ssp585,2034,288.996031614317,288.7023452702508,289.43416713080387
ssp585,2035,288.9432325297469,288.68537977136623,289.4338287296436
ssp585,2036,289.02607277791634,288.8180776238049,289.3731948513998
ssp585,2037,289.17418652669124,288.92926859857477,289.6080430252642
ssp585,2038,289.2377907156659,289.0066092282371,289.69070217782365
ssp585,2039,289.14077593794667,288.76935462908614,289.67350332650176
